secid	name	rating	price_pct	price_source	coupon_pct	event_date	event_type	days_to_event	maturity	amortizations_before_event	current_coupon_yield_pct	simple_yield_to_event_pct	xirr_to_event_pct	moex_yield_pct	profit_per_bond_rub	num_trades	value_today
RU000A104693	АФК Система БО 001P-23	A+	99.92	LAST	17.5	2027-03-03	PUT	168	2031-11-21	0	17.514	16.9	18.1584	18.86	78.47	34	460391
RU000A101Q26	АФК Система БО 001P-13	A+	99.45	LAST	16.0	2026-11-23	PUT	68	2030-05-15	0	16.0885	16.7524	18.0414	19.61	32.68	59	564366
RU000A10B024	АФК Система БО 002Р-01	A+	100.31	LAST	17.5	2027-04-20	PUT	216	2028-03-24	0	17.4459	16.6456	18.0376	18.32	99.0	907	7171061
RU000A10B0B0	Группа ЛСР ПАО БО 001Р-10	A	98.84	LAST	16.0	2028-02-24	PUT	526	2030-02-07	0	16.1878	16.6306	18.0556	18.29	239.09	424	3988003
RU000A105L27	АФК Система БО 001Р-24	A+	99.99	LAST	18.0	2026-12-07	PUT	82	2032-11-24	0	18.0018	16.6065	17.759	19.27	37.58	176	7922905
RU000A104V75	Почта России БО-002P-01	AA	96.15	LAST	11.4	2027-06-07	PUT	264	2032-05-26	0	11.8565	16.5515	17.6575	17.95	119.07	55	418089
RU000A10ATW2	Балтийский лизинг ООО БО-П15	AA-	95.97	LAST	23.7	2028-02-13	MATURITY	515	2028-02-13	6	24.6952	16.5395	33.8627	33.99	170.925	1263	13196691
RU000A10DZK8	Полипласт АО П02-БО-13	A	102.87	LAST	19.45	2027-12-16	MATURITY	456	2027-12-16	1	18.9074	16.4248	18.2074	18.26	213.82	412	3882494
RU000A0ZYNY4	ГосТранспортЛизингКомп 001P-07	AA-	98.25	LAST	11.7	2027-01-13	PUT	119	2032-12-31	0	11.9084	16.4014	17.7843	18.46	53.72	22	316389
RU000A10BY94	АФК Система БО 002Р-03	A+	102.3	LAST	21.5	2027-03-24	MATURITY	189	2027-03-24	1	21.0166	16.3545	18.0487	18.19	87.73	1220	53016987
RU000A1008J4	АФК Система БО 001P-10	A+	98.99	LAST	16.0	2027-03-31	PUT	196	2029-03-23	0	16.1632	16.3121	18.3119	18.85	93.39	83	1001718
RU000A10EK06	"Сэтл-Групп" ООО БО 002P-07	A-	100.15	LAST	16.5	2028-03-05	MATURITY	536	2028-03-05	1	16.4753	16.3038	17.6307	17.67	240.32	188	1899852
RU000A10AYF7	Новые технологии 001Р-04	A-	103.0	LAST	24.25	2027-02-19	MATURITY	156	2027-02-19	1	23.5437	16.2943	17.673	17.86	72.98	118	1294734
RU000A1089G0	ГИДРОМАШСЕРВИС АО 001Р-02	A	99.27	LAST	15.25	2027-03-31	CALL	196	2034-03-21	0	15.3621	16.2892	17.651	18.01	87.49	169	3175217
RU000A0ZYWU3	АФК Система БО 001P-08	A+	94.87	LAST	12.0	2028-02-23	MATURITY	525	2028-02-23	1	12.6489	16.2615	16.7409	16.77	223.59	66	111275
RU000A1043Z7	Биннофарм Групп 001Р-01	A-	99.51	LAST	15.0	2026-11-23	PUT	68	2036-11-05	0	15.0739	16.1932	17.3467	18.86	30.38	15	40839
