count	84
secid	name	rating	price_pct	coupon_pct	event_date	event_type	days_to_event	simple_yield_to_event_pct	xirr_to_event_pct	moex_yield_pct	num_trades	value_today
RU000A1089G0	ГИДРОМАШСЕРВИС АО 001Р-02	A	99.27	15.25	2027-03-31	CALL	196	16.2892	17.651	18.01	169	3175217
RU000A0ZYWU3	АФК Система БО 001P-08	A+	94.87	12.0	2028-02-23	MATURITY	525	16.2615	16.7409	16.77	66	111275
RU000A1043Z7	Биннофарм Групп 001Р-01	A-	99.51	15.0	2026-11-23	PUT	68	16.1932	17.3467	18.86	15	40839
RU000A10CCN3	О'КЕЙ ООО БО 001Р-08	A-	99.98	16.9	2027-02-09	PUT	146	16.1833	17.536	18.33	193	3198487
RU000A1089X5	РЖД ОАО ЗО28-1-Р	AAA	88.63	6.598	2028-03-02	MATURITY	533	16.1695	16.1927	16.21	5	444270
RU000A10BFK4	Новые технологии 001Р-05	A-	103.54	23.25	2027-04-08	MATURITY	204	16.1584	17.7553	17.89	89	521045
RU000A10DQ68	СелоЗеленое 001Р-02	A	100.96	17.25	2027-11-25	MATURITY	435	16.1306	17.5935	17.64	518	9351739
RU000A1003A4	ГТЛК БО 001P-13	AA-	97.41	9.57	2027-02-03	PUT	140	16.126	17.2497	17.72	24	355115
RU000A104W17	Почта России БО-002P-02	AA	100.53	17.5	2027-12-17	PUT	457	16.1192	17.4912	17.65	41	150712
RU000A10BPN7	Полипласт АО П02-БО-05	A	105.45	25.5	2027-05-19	MATURITY	245	16.1082	18.0975	18.22	509	9792681
RU000A10B3S8	Аэрофьюэлз-002Р-04	A	103.52	24.75	2027-03-19	MATURITY	184	16.087	18.3037	18.46	446	3591953
RU000A0JXN21	АФК "Система" ПАО БО-001P-06	A+	96.91	10.5	2027-03-26	MATURITY	191	16.0451	17.5459	17.61	48	173516
RU000A10DP93	КАМАЗ ПАО БО-П18	A	100.28	16.5	2027-11-22	MATURITY	432	16.0404	17.4512	17.5	195	3001116
RU000A10B0Z9	ЭР-Телеком Холдинг ПБО-02-09	A	99.19	15.5	2028-02-20	MATURITY	522	16.0374	17.348	17.39	255	1874847
RU000A10C5L7	Селигдар 001Р-04	A+	103.17	19.0	2028-01-08	MATURITY	479	16.0246	17.5315	17.58	1200	20244263
RU000A10EAC6	КАМАЗ ПАО БО-П20	A	99.94	15.95	2028-02-06	MATURITY	508	15.951	17.1863	17.23	1027	30100979
RU000A10BFJ6	Полипласт АО П02-БО-04	A	104.82	25.5	2027-04-08	MATURITY	204	15.9079	17.5597	17.71	277	4279577
RU000A102952	ВИС ФИНАНС БО-П01	A+	94.35	10.0	2027-10-12	MATURITY	391	15.8615	16.758	16.79	65	315873
RU000A10B933	Селигдар 001Р-03	A+	106.39	23.25	2027-09-25	MATURITY	374	15.7733	17.6502	17.73	972	17514568
RU000A10BY45	Новые технологии 001Р-07	A-	102.9	20.25	2027-06-22	MATURITY	279	15.7297	17.3517	17.44	172	1755386
RU000A1084B2	"Сэтл-Групп" ООО БО 002P-03	A-	100.53	17.0	2027-03-14	MATURITY	179	15.7235	16.9597	17.07	328	3895230
RU000A10CKZ0	ЕвразХолдинг Финанс 003P-04	AA-	97.69	13.9	2028-02-13	MATURITY	515	15.7117	16.8807	16.92	607	18019118
RU000A10BPZ1	АФК Система БО 002Р-02	A+	104.13	22.75	2027-05-20	MATURITY	246	15.6421	17.3944	17.51	829	21255945
RU000A10DZU7	А101 БО-001Р-02	A+	101.2	17.0	2027-12-16	MATURITY	456	15.6297	17.1005	17.15	420	8892386
RU000A1084E6	О'КЕЙ ООО БО 001Р-06	A-	99.78	15.5	2027-03-17	CALL	182	15.6218	16.7969	17.19	242	3825903
RU000A101SC0	ГТЛК БО 001P-18	AA-	94.81	7.84	2027-06-07	PUT	264	15.5985	16.2918	16.49	24	73040
RU000A10E2B3	Совком Экспресс 001P-01	A+	103.77	19.5	2027-12-22	PUT	462	15.5856	17.2635	17.45	35	230615
RU000A1082W2	Новые технологии БO-03	A-	101.03	18.1	2027-03-07	MATURITY	172	15.5838	16.8927	17.02	139	872489
RU000A10EN29	КАМАЗ ПАО БО-П22	A	100.4	16.0	2028-03-13	MATURITY	544	15.4562	16.8386	16.88	61	1209800
RU000A1008Y3	Почта России (АО) БО-001P-07	AA	100.71	18.5	2027-04-02	PUT	198	15.3847	17.3561	17.76	77	5516014
RU000A10CQ77	КАМАЗ ПАО БО-П16	A	99.51	14.9	2027-09-02	MATURITY	351	15.3842	16.5459	16.6	143	949470
RU000A105M91	Синара Транспортные Машины 1P3	A	103.16	18.5	2027-12-10	MATURITY	450	15.3624	16.5175	16.57	236	4216081
RU000A103C53	РЕСО-Лизинг ООО БО-П-11	AA-	101.65	18.6	2027-06-30	PUT	287	15.2186	16.4143	16.83	32	284256
RU000A106DP3	РЕСО-Лизинг ООО БО-П-22	AA-	98.03	13.1	2027-06-16	PUT	273	15.2164	16.235	16.54	20	126180
RU000A105KR6	Восточная Стивидор.Ком 1P-03R	AA-	95.48	11.25	2027-11-30	MATURITY	440	15.1602	16.0219	16.05	55	1262220
RU000A10BGY3	Мобильные ТелеСистемы 002P-10	AAA	98.7	13.25	2028-01-13	PUT	484	15.1384	16.2426	15.31	128	2299011
RU000A108UR9	РЕСО-Лизинг ООО БО-П-26	AA-	102.18	18.5	2027-09-29	PUT	378	15.133	16.8582	17.17	19	270534
RU000A1013U1	Славнефть БО 001Р-03	AA	100.5	15.95	2027-11-23	PUT	433	15.0495	16.1552	16.39	29	999185
RU000A108C74	РЕСО-Лизинг ООО БО-П-25	AA-	100.07	15.5	2027-04-14	PUT	210	15.0471	16.1702	16.51	142	451291
