event_date	event_type	name	isin	rating	coupon_pct	price_pct	price_source	current_face	nkd_rub	dirty_rub	days_to_event	simple_yield_pct	effective_xirr_pct	moex_yield_pct	maturity	put_date	put_price_pct	amortization_count	estimated_coupon_count	call_dates_ignored	unknown_offer_dates_ignored	num_trades	value_today
2027-01-30	MATURITY	ГПБ (АО) БО 004Р-02	RU000A107GG3	NR	0.01	94.65	LAST	1000.0	0.06	946.56	135	15.2929	16.0395	16.04	2027-01-30			1	0	[]	[]	1	1893
2027-01-31	MATURITY	ГПБ (АО) БО 004Р-15	RU000A10AG30	NR	0.01	97.9	OFFER	1000.0	0.06	979.06	136	5.7675	5.8724	5.84	2027-01-31			1	0	[]	[]	0	0
2027-02-01	MATURITY	АЛЬФА-БАНК 002P-31	RU000A10E7Q0	AA+	14.93	100.74	OFFER	1000.0	5.32	1012.72	137	12.7934	13.6842	13.81	2027-02-01			1	0	[]	[]	44	1385607
2027-02-03	PUT	ГТЛК БО 001P-13	RU000A1003A4	AA-	9.57	97.62	OFFER	1000.0	12.59	988.79	139	15.6499	16.7214	17.11	2034-01-20	2027-02-03	100.0	0	0	[]	[]	15	93496
2027-02-03	MATURITY	ОФЗ-ПД 26207 03/02/27	RU000A0JS3W6	NR	8.15	98.35	OFFER	1000.0	9.6	993.1	139	12.5703	13.0643	13.06	2027-02-03			1	0	[]	[]	1348	489177758
2027-02-03	MATURITY	СберИОС 001Р-509R 5Г DEF ИЭЦ	RU000A104CY2	NR	0.01	170.2	PREV/LAST FALLBACK	1000.0	0	1702.0	139	-108.2296	-75.2204	0.0	2027-02-03			1	0	[]	[]	0	0
2027-02-04	MATURITY	СберИОС 001Р-511R 5Г ТЕХ	RU000A104CR6	NR	0.01	89.56	PREV/LAST FALLBACK	1000.0	0	895.6	140	30.537	33.4785	0.0	2027-02-04			1	0	[]	[]	0	0
2027-02-05	MATURITY	ГПБ (АО) БО 0004P-37	RU000A10E3Z0	AA+	0.01	101.09	LAST	1000.0	0.06	1010.96	141	-2.7808	-2.7571	-2.76	2027-02-05			1	0	[]	[]	1	707630
2027-02-08	MATURITY	Фордевинд 04	RU000A106SE5	BB+	17.0	99.69	OFFER	834.0	2.33	833.7446	144	10.7365	20.0071	20.75	2027-02-08			5	0	[]	[]	34	322242
2027-02-09	MATURITY	Банк ВТБ (ПАО) Б-1-296	RU000A104DG7	NR	0.01	97.39	PREV/LAST FALLBACK	1000.0	0	973.9	145	6.759	6.8973	0.0	2027-02-09			1	0	[]	["2027-02-09"]	0	0
2027-02-09	PUT	О'КЕЙ ООО БО 001Р-08	RU000A10CCN3	A-	16.9	100.11	OFFER	1000.0	4.63	1005.73	145	15.9485	17.2768	17.94	2028-07-28	2027-02-09	100.0	0	0	[]	[]	103	985650
2027-02-09	PUT	ПАО НК Роснефть 002P-04	RU000A0ZYT40	AAA	8.0	97.63	OFFER	1000.0	9.21	985.51	145	13.89	14.4975	15.33	2028-02-03	2027-02-09	100.0	0	0	[]	[]	57	541221
2027-02-10	PUT	"Сэтл-Групп" ООО БО 002P-06	RU000A10C2L4	A-	19.5	101.4	OFFER	1000.0	4.81	1018.81	146	15.0519	16.3288	17.07	2029-06-24	2027-02-10	100.0	0	0	[]	[]	505	2819800
